Film_title,Release_year,Director,Cast,Average_rating,Owner_rating,Genres,Runtime,Countries,Original_language,Spoken_languages,Studios,Watches,List_appearances,Likes,Fans,½,★,★½,★★,★★½,★★★,★★★½,★★★★,★★★★½,★★★★★,Total_ratings,Film_URL,List_URL
Miller's Crossing,1990,Joel Coen,"['Gabriel Byrne', 'Marcia Gay Harden', 'John Turturro', 'Jon Polito', 'J.E. Freeman', 'Albert Finney', 'Mike Starr', 'Al Mancini', 'Steve Buscemi', 'Richard Woods', 'Tom Toner', 'Mario Todisco', 'Olek Krupa', 'Michael Jeter', 'Lanny Flaherty', 'Jeanette Kontomitras', 'Louis Charles Mounicou III', 'John McConnell', 'Danny Aiello III', 'Helen Jolly', 'Hilda McLean', 'Monte Starr', 'Don Picard', 'Salvatore H. Tornabene', 'Kevin Dearie', 'Michael Badalucco', 'Charles Ferrara', 'Esteban Fernández', 'George Fernandez', 'Charles Gunning', 'Dave Drinkx', 'David Darlow', 'Robert LaBrosse', 'Carl Rooney', 'Jack Harris', 'Jery Hewitt', 'Sam Raimi', 'John Schnauder Jr.', 'Zolly Levin', 'Joey Ancona', 'Bill Raye', 'William Preston Robertson', 'MIchael P. Cahill', 'Frances McDormand']",3.99,nan,"['Drama', 'Thriller', 'Crime']",115,['USA'],English,"['English', 'Irish', 'Italian', 'Yiddish']","['Circle Films', '20th Century Fox']",137515,48095,36144,1000,74,248,279,1434,2250,9931,16454,30963,13974,11733,87340,https://letterboxd.com/film/millers-crossing/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/7/
Mystery Train,1989,Jim Jarmusch,"['Youki Kudoh', 'Masatoshi Nagase', ""Screamin' Jay Hawkins"", 'Cinqué Lee', 'Nicoletta Braschi', 'Elizabeth Bracco', 'Joe Strummer', 'Rick Aviles', 'Steve Buscemi', 'Tom Noonan', 'Rufus Thomas', 'Tom Waits', 'Jodie Markell', 'William Hoch', 'Pat Hoch', 'Joshua Elvis Hoch', 'Reginald Freeman', 'Beverly Prye', 'Sy Richardson', 'Stephen Jones', 'Lowell Roberts', 'Sara Driver', 'Richard Boes', 'Darryl Daniel', 'Calvin Brown', 'Jim Stark', 'Elan Yaari', 'Vondie Curtis-Hall', 'Royale Johnson', 'Winston Hoffman', 'Rockets Redglare', 'Marvell Thomas', 'Charles Ponder', ""D'Army Bailey""]",3.97,nan,['Comedy'],106,"['Japan', 'USA']",English,"['English', 'Italian', 'Japanese']","['Mystery Train', 'JVC']",74824,25297,24560,695,40,130,149,645,1166,5185,9699,17404,6836,6151,47405,https://letterboxd.com/film/mystery-train/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/7/
Rebecca,1940,Alfred Hitchcock,"['Laurence Olivier', 'Joan Fontaine', 'George Sanders', 'Judith Anderson', 'Nigel Bruce', 'Reginald Denny', 'C. Aubrey Smith', 'Gladys Cooper', 'Florence Bates', 'Melville Cooper', 'Leo G. Carroll', 'Leonard Carey', 'Lumsden Hare', 'Edward Fielding', 'Philip Winter', 'Forrester Harvey', 'Bunny Beatty', 'Billy Bevan', 'Egon Brecher', 'Gino Corrado', 'Alfred Hitchcock', 'Leyland Hodgson', 'Alphonse Martell', ""William H. O'Brien"", 'Ronald R. Rondell', 'Phyllis Woodward']",4.12,nan,"['Mystery', 'Drama', 'Thriller', 'Romance']",130,['USA'],English,"['English', 'French']","['Selznick International Pictures', 'United Artists']",157226,72645,43923,1300,68,203,216,1154,1713,8587,13964,34375,17844,17523,95647,https://letterboxd.com/film/rebecca/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/7/
Sideways,2004,Alexander Payne,"['Paul Giamatti', 'Thomas Haden Church', 'Virginia Madsen', 'Sandra Oh', 'Marylouise Burke', 'Jessica Hecht', 'Missy Doty', 'M.C. Gainey', 'Alysia Reiner', 'Shake Tukhmanyan', 'Shaun Duke', 'Robert Covarrubias', 'Patrick Gallagher', 'Stephanie Faracy', 'Joe Marinelli', 'Chris Burroughs', 'Toni Howard', 'Khoren Babouchian', 'Lee Brooks', 'Peter Dennis', 'Alison Herson', 'Phil Reeves', 'Rob Trow', 'Lacey Rae', 'Cesar Ramos', 'Daniel Rogers', 'Natalie Carter', 'Simon Kassis', 'Sevag Kendirjian', 'Jaren Coler', 'Chris Astoyan', 'JR Garcia', 'Gregory Heath', 'Alex Kalognomos', 'Parker Quinn', 'Mikael Sharafyan']",3.79,nan,"['Comedy', 'Romance', 'Drama']",127,"['Hungary', 'USA', 'Italy']",English,"['English', 'Armenian']","['Fox Searchlight Pictures', 'Michael London Productions', 'Sideways Productions Inc.']",173150,39694,37753,1300,371,938,762,3378,4244,15654,22434,33933,12202,9986,103902,https://letterboxd.com/film/sideways/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/7/
The Favourite,2018,Yorgos Lanthimos,"['Olivia Colman', 'Emma Stone', 'Rachel Weisz', 'Nicholas Hoult', 'Joe Alwyn', 'Mark Gatiss', 'James Smith', 'Jenny Rainsford', 'Emma Delves', 'Faye Daveney', 'Paul Swaine', 'Jennifer White', 'Lilly-Rose Stevens', 'Denise Mack', 'Willem Dalby', 'Edward Aczel', 'Carolyn Saint-Pé', 'John Locke', 'Everal Walsh', 'Timothy Innes', 'Basil Eidenbenz', 'James Melville', 'Declan Wyer', 'Anthony Dougall', 'Ben English', 'Peter Brookes', 'Wilson Mbomio', 'Gavin Henderson', 'Callum Lewin', 'Liam Fleming', 'Angela Hicks', 'Martin Pemberton', 'Luca Wiseman', 'James Perrin', 'Hana McDowell', 'Sam Kemp', 'Djordje Jovanovic', 'Alexis Bennett', 'Chris elms', 'Tim Ingall', 'Ethan Keaton', 'Keith Milner', 'Alfrun Rose', 'Keval Shah', 'Janette Sharpe', 'Luke Thallon', 'Jack Veal', 'Zenobia Voegele-Downing', 'Emily Vinnicombe', 'Hannah Morley', 'Poppy Lawless', 'Roisin Keogh', 'Elizabeth Ita', 'Errol Clayton', 'Antonia Castilla', 'Samuel Bossman', 'Paul Wingrove', 'Nathan Lang', 'Frank Gordon', 'Isaura Barbé-Brown', 'Phelim Kelly', 'Leigh Dent']",4.04,nan,"['Thriller', 'Drama', 'Comedy']",120,"['Ireland', 'UK', 'USA']",English,['English'],"['Waypoint Entertainment', 'Element Pictures', 'Scarlet Films', 'Film4 Productions', 'Fox Searchlight Pictures']",836552,165398,271965,6800,1066,3081,1982,10949,11845,56614,80169,208233,103550,103822,581311,https://letterboxd.com/film/the-favourite/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/7/
Field of Dreams,1989,Phil Alden Robinson,"['Kevin Costner', 'Amy Madigan', 'Gaby Hoffmann', 'James Earl Jones', 'Ray Liotta', 'Timothy Busfield', 'Burt Lancaster', 'Frank Whaley', 'Dwier Brown', 'James Andelin', 'Mary Anne Kean', 'Fern Persons', 'Kelly Coffield Park', 'Michael Milhoan', 'Steve Eastin', 'Charles Hoyes', 'Art LaFleur', 'Lee Garlington', 'Mike Nussbaum', 'Larry Brandenburg', 'Mary McDonald Gershon', 'Robert Kurcz', 'Don John Ross', 'Beatrice Fredman', 'Geoffrey Nauffts', 'Anne Seymour', 'Brian Waldvogel', 'Brian E. Frankish', 'Ben Affleck', 'Matt Damon', 'Kevin Fennessy']",3.59,nan,"['Fantasy', 'Drama']",107,['USA'],English,['English'],"['Universal Pictures', 'Gordon Company']",146880,30028,26887,818,296,769,753,3317,4440,15323,15901,19670,6267,7813,74549,https://letterboxd.com/film/field-of-dreams/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/7/
Puss in Boots: The Last Wish,2022,Joel Crawford,"['Antonio Banderas', 'Salma Hayek Pinault', 'Harvey Guillén', 'Wagner Moura', 'Florence Pugh', 'Olivia Colman', 'Ray Winstone', 'Samson Kayo', 'John Mulaney', ""Da'Vine Joy Randolph"", 'Anthony Mendez', 'Kevin McCann', 'Bernardo de Paula', 'Betsy Sodaro', 'Artemis Pebdani', 'Conrad Vernon', 'Cody Cameron', 'Kailey Crawford', 'Al Rodrigo', 'Bob Persichetti', 'Miguel Matrai', 'Pilar Uribe', 'Heidi Gardner', 'Joel Crawford', 'Januel Mercado', 'James Ryan', 'Natalia Cronembold', 'Paul Fisher', 'Aydrea Walden']",4.15,nan,"['Animation', 'Family', 'Fantasy', 'Action', 'Comedy', 'Adventure']",103,['USA'],English,"['English', 'Spanish']",['DreamWorks Animation'],1154049,167995,477968,8200,745,2084,1411,8678,11234,61585,103423,292075,182725,260156,924116,https://letterboxd.com/film/puss-in-boots-the-last-wish/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/7/
The Shop Around the Corner,1940,Ernst Lubitsch,"['James Stewart', 'Margaret Sullavan', 'Frank Morgan', 'Joseph Schildkraut', 'Sara Haden', 'Felix Bressart', 'William Tracy', 'Inez Courtney', 'Sarah Edwards', 'Edwin Maxwell', 'Charles Halton', 'Charles Smith', 'Charles Arnt', 'Joan Blair', 'Mary Carr', 'Mabel Colcord', 'Claire Du Brey', 'William Edmunds', 'Grace Hayle', 'Mira McKinney', 'Sol Murgi', 'Renie Riano', 'Gertrude Simpson', 'Ruth Warren']",4.15,nan,"['Drama', 'Romance', 'Comedy']",99,['USA'],English,['English'],['Metro-Goldwyn-Mayer'],70866,31560,24939,492,25,61,82,416,720,3826,7046,16739,8976,9066,46957,https://letterboxd.com/film/the-shop-around-the-corner/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/7/
Kwaidan,1964,Masaki Kobayashi,"['Michiyo Aratama', 'Misako Watanabe', 'Rentaro Mikuni', 'Kenjirō Ishiyama', 'Ranko Akagi', 'Fumie Kitahara', 'Kappei Matsumoto', 'Yoshiko Ieda', 'Otome Tsukimiya', 'Kenzō Tanaka', 'Kiyoshi Nakano', 'Tatsuya Nakadai', 'Keiko Kishi', 'Yūko Mochizuki', 'Kin Sugai', 'Noriko Sengoku', 'Akiko Nomura', 'Torahiko Hamada', 'Jun Hamamura', 'Katsuo Nakamura', 'Tetsurō Tamba', 'Takashi Shimura', 'Yoichi Hayashi', 'Eiko Muramatsu', 'Kunie Tanaka', 'Kazuo Kitamura', 'Ichirō Nakatani', 'Masanori Tomotake', 'Tokue Hanazawa', 'Shizue Natsukawa', 'Shin Tatsuoka', 'Makiko Kitashiro', 'Masakazu Kuwayama', 'Mutsuhiko Tsurumaru', 'Akira Tani', 'Yousuke Kondou', 'Kiyoshi Yamamoto', 'Kinji Omino', 'Atsuo Nakamura', 'Ginzô Sekiguchi', 'Akio Miyabe', ""Gen'ya Nagai"", 'Toru Uchida', 'Hikaru Jinno', 'Toshio Fukuhara', 'Kirô Abe', 'Toshiro Yagi', 'Yuriko Abe', 'Yuri Satô', 'Kyōichi Satō', 'Nobuo Aikawa', 'Taiji Kodama', 'Nobuaki Maeda', 'Teruhiko Shibata', 'Haruo Kaji', 'Michio Gina', 'Seiji Tabe', 'Mitsuko Narita', 'Noriko Mikura', 'Aiko Nagayama', 'Michiko Nakahata', ""Kan'emon Nakamura"", 'Osamu Takizawa', 'Haruko Sugimura', 'Noboru Nakaya', 'Seiji Miyaguchi', 'Kei Satō', 'Shigeru Kōyama', 'Jun Tazaki', 'Junkichi Orimoto', 'Akiji Kobayashi', 'Yoshirō Aoki', 'Isao Tamagawa', 'Hideyo Amamoto', 'Ganjirō Nakamura II']",4.2,nan,"['Fantasy', 'Horror', 'Drama']",183,['Japan'],Japanese,['Japanese'],['Ninjin Club'],49877,43508,17136,427,34,81,90,362,559,2370,4188,10715,7326,7631,33356,https://letterboxd.com/film/kwaidan/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/7/
The Celebration,1998,Thomas Vinterberg,"['Ulrich Thomsen', 'Henning Moritzen', 'Thomas Bo Larsen', 'Paprika Steen', 'Birthe Neumann', 'Trine Dyrholm', 'Helle Dolleris', 'Therese Glahn', 'Klaus Bondam', 'Bjarne Henriksen', 'Gbatokai Dakinah', 'Lasse Lunderskov', 'Lars Brygmann', 'Lene Laub Oksen', 'Linda Laursen', 'John Boas', 'Erna Boas', 'Bent Henningsen', 'Poul Kajbæk', 'Vibeke Dalset', 'Janne Thomsen', 'Anette Jakobsen', 'Poul Petersen', 'Gulli Sejrsen', 'Vibeke Kaiser', 'John Johnsen', 'Dan Eilertsen', 'Søren Sögreni', 'Kate Goldschmidt', 'Jens Nørring', 'Bent Kaiser', 'Maria Myrgård', 'Peter Krag', 'Stig Poul Hansen', 'Kaj Rasmussen', 'Robert Strandgård', 'Gry Worre Hallberg', 'René', 'Christine Louise Jørgensen', 'Dorte Olofsen', 'Kasper Olofsen', 'Emilian Sejersen', 'Susanne Funck', 'Rosmarie Jørgensen', 'Lasse Jacobsen', 'Sigrid Aalbæk Jensen', 'Mikkel Jacobsen', 'Birgitte Simonsen', 'Thomas Vinterberg']",4.27,nan,['Drama'],105,"['Denmark', 'Sweden']",Danish,"['Danish', 'German', 'English']","['DR', 'SVT', 'Nimbus Film']",101420,38414,31539,1600,108,201,212,679,949,3794,8004,23595,17660,14507,69709,https://letterboxd.com/film/the-celebration/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/7/
Hiroshima Mon Amour,1959,Alain Resnais,"['Emmanuelle Riva', 'Eiji Okada', 'Stella Dassas', 'Pierre Barbaud', 'Bernard Fresson']",4.18,nan,"['Drama', 'Romance', 'History']",92,"['France', 'Japan']",French,"['French', 'English', 'Japanese']","['Argos Films', 'Como Films', 'Daiei Film', 'Pathé Overseas', 'Pathé Entertainment']",125882,55553,40280,2500,143,344,336,1395,1892,6696,9991,23359,15278,19188,78622,https://letterboxd.com/film/hiroshima-mon-amour/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/7/
The Devil Wears Prada,2006,David Frankel,"['Anne Hathaway', 'Meryl Streep', 'Emily Blunt', 'Stanley Tucci', 'Simon Baker', 'Adrian Grenier', 'Tracie Thoms', 'Rich Sommer', 'Daniel Sunjata', 'David Marshall Grant', 'James Naughton', 'Tibor Feldman', 'Rebecca Mader', 'Jimena Hoyos', 'Gisele Bündchen', 'George C. Wolfe', 'John Rothman', 'Stephanie Szostak', 'Colleen Dengel', 'Suzanne Dengel', 'Heidi Klum', 'Valentino Garavani', 'Bridget Hall', 'Ines Rivero', 'Alyssa Sutherland', 'Robert Verdi', 'Paul Keany', 'David Callegati', 'Rori Cannon', 'Stan Newman', 'James Cronin', 'Eric Seltzer', 'Lindsay Brice', 'Steve Benisty', 'John Graham', 'Wells Dixon', 'Ilona Alexandra', 'Frank Anello', 'Alexander Blaise', 'Marie Brandt', 'Carl Burrows', 'Dono Cunningham', 'Guy A. Fortt', 'Alexie Gilmore', 'Toree Hill', 'Vivian Kalinov', 'Tim Krueger', 'Hector Lincoln', 'Nina Lisandrello', 'Zev McAllister', 'Matt Murray', 'Ingrid Sophie Schram', 'Bobby Shue', 'Brandhyze Stanley', 'Jen Taylor', 'Taylor Treadwell', 'Donatella Versace', 'Lauren Weisberger', 'Laura D. Williams']",3.76,nan,"['Comedy', 'Drama']",109,['USA'],English,"['English', 'French']","['Fox 2000 Pictures', '20th Century Fox', 'Wendy Finerman Productions']",1624930,134032,474836,19000,1403,4504,4139,22851,30278,144655,156015,280076,74101,200539,918561,https://letterboxd.com/film/the-devil-wears-prada/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/7/
V for Vendetta,2005,James McTeigue,"['Natalie Portman', 'Hugo Weaving', 'Stephen Rea', 'Stephen Fry', 'John Hurt', 'Tim Pigott-Smith', 'Natasha Wightman', 'Rupert Graves', 'Roger Allam', 'Ben Miles', 'Sinéad Cusack', 'Eddie Marsan', 'John Standing', 'Imogen Poots', 'Clive Ashborn', 'Emma Field-Rayner', 'Ian Burfield', 'Mark Phoenix', 'Alister Mazzotti', 'Billie Cook', 'Guy Henry', 'Cosima Shaw', 'Megan Gay', 'Roderic Culver', 'Andy Rashleigh', 'Chad Stahelski', 'Antje Rau', 'Amelda Brown', 'Richard Campbell', 'Mark Longhurst', 'Charles Cork', 'John Ringham', 'Oliver Bradshaw', 'Juliet Howland', 'Joseph Rye', 'Malcolm Sinclair', 'Madeleine Rakic-Platt', 'Selina Giles', 'Carsten Hayes', 'Derek Hutchinson', 'Martin Savage', 'Grant Burgin', 'Greg Donaldson', 'Jason Griffiths', 'Laura Greenwood', 'Paul Antony-Barber', 'Anna Farnworth', 'Mary Stockley', 'Simon Newby', 'David Merheb', 'Dulcie Smart', 'Ben Posener', 'Ian T. Dickinson', 'Julie Brown', 'Eamon Geoghegan', 'Matthew Bates', 'David Leitch', 'Matt Wilkinson', 'Martin McGlade', 'Richard Laing', 'Michael Simkins', 'William Tapley', 'Tony Cook', 'Christopher Fosh', 'Keith How', 'Norman Campbell Rees', 'Andy Callaghan', 'Forbes KB', 'João Costa Menezes', 'Chris Wilson', 'Nicolas de Pruyssenaere', 'David Decio', 'Rami Hilmi', 'Mathis Landwehr', 'Jason Oettle', 'Wolfgang Stegemann']",3.84,nan,"['Thriller', 'Science Fiction', 'Action']",132,"['Germany', 'UK', 'USA']",English,['English'],"['Virtual Studios', 'Anarchos Productions', 'Silver Pictures', 'Fünfte Babelsberg Film', 'Warner Bros. Productions', 'DC Vertigo']",1002382,88495,253959,8600,1446,3768,3326,16013,19458,79225,96180,169042,62238,86378,537074,https://letterboxd.com/film/v-for-vendetta/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/7/
Ocean's Eleven,2001,Steven Soderbergh,"['George Clooney', 'Matt Damon', 'Andy García', 'Brad Pitt', 'Julia Roberts', 'Casey Affleck', 'Scott Caan', 'Elliott Gould', 'Eddie Jemison', 'Bernie Mac', 'Shaobo Qin', 'Carl Reiner', 'Cecelia Ann Birt', 'Paul L. Nolan', 'Carol Florence', 'Lori Galinski', 'Mark Gantt', 'Tim Perez', 'Frank Patton III', 'Jorge R. Hernandez', 'Tim Snay', 'Miguel Pérez', 'Lennox Lewis', 'Wladimir Klitschko', 'Barry Brandt', 'William Patrick Johnson', 'Robert Peters', 'David Jensen', 'Kelly Adkins', 'Gregory Stenson', 'Joe La Due', 'John C. Fiore', 'Tommy Kordick', 'Michael Delano', 'Charles La Russa', 'Anthony Allison', 'Ronn Soeda', 'Robin Sachs', 'J.P. Manoux', 'Jerry Weintraub', 'Frankie J. Allison', 'James Curatola', 'Henry Silva', 'Eydie Gormé', 'Angie Dickinson', 'Steve Lawrence', 'Wayne Newton', 'Siegfried Fischbacher', 'Roy Horn', 'Jim Lampley', 'Larry Merchant', 'Richard Reed', 'David Sontag', 'Larry Sontag', 'Bill Allison', 'Rusty Meyers', 'Joe Coyle', 'Scott L. Schwartz', 'Richard Steele', 'John Robotham', 'Vincent M. Ward', 'Scott Beringer', 'Jim Alfonso', 'Tony Brown', 'Don Cheadle', 'Holly Marie Combs', 'Viola Davis', 'Topher Grace', 'Joshua Jackson', 'David Leitch', 'Thomas Rosales Jr.', 'Kerry Rossall', 'Steven Soderbergh', 'Barry Watson', 'Shane West', 'Mike Malone']",3.88,nan,"['Thriller', 'Crime']",116,['USA'],English,"['English', 'Italian']","['Warner Bros. Pictures', 'Village Roadshow Pictures', 'NPV Entertainment', 'Jerry Weintraub Productions', 'Section Eight']",1118554,101361,282501,8800,560,2015,1667,10690,15124,86132,119439,222413,69570,82653,610263,https://letterboxd.com/film/oceans-eleven-2001/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/7/
The Intern,2015,Nancy Meyers,"['Robert De Niro', 'Anne Hathaway', 'Rene Russo', 'Anders Holm', 'JoJo Kushner', 'Andrew Rannells', 'Adam Devine', 'Zack Pearlman', 'Jason Orley', 'Christina Scherer', 'Nat Wolff', 'Linda Lavin', 'Celia Weston', 'Steve Vinovich', 'C.J. Wilson', 'Mary Kay Place', 'Erin Mackey', 'Christina Brucato', 'Wallis Currie-Wood', 'Molly Bernard', 'Paulina Singer', 'Annie Funke', 'Christine Evangelista', 'Julee Cerda', 'Peter Vack', 'Nikki Granatell', 'Liza Binkley', 'Eshan Bay', 'Caitlin Kinnunen', 'Tristan Griffin', 'Sydney Morton', 'Brandon Tyler Harris', 'Elena Shaddow', 'Liz Holtan', 'Claire Saunders', 'G. Keith Alexander', 'Susan Feldman', 'Mark D. Sikes', 'Drena De Niro', 'Max von Essen', 'George Merrick', 'Casey Benjamin', 'Ruby Motz', 'Emma Angstadt', 'Eliud Kauffman', 'Jenny Fellner', 'Sean Kleier', 'Elliot Villar', 'Tiffany Chen', 'Nikki James', 'Mayumi Miguel', 'JoAnna Powell', 'Dan Castiglione', 'Edie Cowan', 'Ronald Duncan', 'Michael Mann', 'Leasen Beth Almquist', ""Leah O'Donnell"", 'William Ryall', 'Djassi DaCosta Johnson', 'Ashley Amber Haas', 'Michael Gorman', 'Katherine Argo', 'Matt Wall', 'Daniel A. Weiner', 'Frazer Brown', 'Doris McCarthy', 'Kerttu Veske']",3.25,3.5,['Comedy'],121,['USA'],English,['English'],"['Warner Bros. Pictures', 'RatPac Entertainment', 'Waverly Films']",400855,29358,67989,909,1183,3305,3617,15044,20367,59109,46806,43577,9036,16742,218786,https://letterboxd.com/film/the-intern-2015/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/7/
Dazed and Confused,1993,Richard Linklater,"['Jason London', 'Joey Lauren Adams', 'Matthew McConaughey', 'Rory Cochrane', 'Milla Jovovich', 'Shawn Andrews', 'Adam Goldberg', 'Anthony Rapp', 'Sasha Jenson', 'Marissa Ribisi', 'Deena Martin', 'Michelle Burke', 'Cole Hauser', 'Christine Harnos', 'Wiley Wiggins', 'Mark Vandermeulen', 'Esteban Powell', 'Jeremy Fox', 'Ben Affleck', 'Jason O. Smith', 'Christin Hinojosa', 'Parker Posey', 'Catherine Morris', 'Nicky Katt', 'Parker Brooks', 'Zach Taylor', 'Jacob Jones', 'Rick Moser', 'Terry Mross', 'Kim Krizan', 'Zooey Greif', 'Julius Tennon', 'Priscilla Kinser', 'Erika Geminder', 'Heidi Van Horne', 'Katherine Asher', 'Kathleen Cunningham', 'Richard Dillard', 'John Swasey', 'Zeke Mills', 'Michael Gillespie', 'Tom Hoeck', 'Fred Lerner', 'David Blackwell', 'Autumn Barr', 'Doug Taylor', 'Bob Moser', 'Mona Lee Fultz', 'Chris M. Allport', 'Rose Barrett', 'Tara Battani', 'Adam Boster', 'Josh Caldwell', 'Nicole Emmons', 'Mike Enright', 'Chris Green', 'Karey Green', 'KaiCarra', 'Jessica Looney', 'David L. Marston', 'Anthony Pedone', 'Ted Perez', 'Damian Tamburro', 'Chris Western', ""James 'Kimo' Wills"", 'Heath Young', 'Renée Zellweger']",3.93,3.5,"['Drama', 'Comedy']",102,['USA'],English,['English'],"['Gramercy Pictures', 'Detour Film Production', 'Alphaville']",491986,118230,162953,14000,767,1775,1541,7039,9173,37395,48400,92157,39975,65477,303699,https://letterboxd.com/film/dazed-and-confused/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/7/
Raging Bull,1980,Martin Scorsese,"['Robert De Niro', 'Cathy Moriarty', 'Joe Pesci', 'Frank Vincent', 'Nicholas Colasanto', 'Theresa Saldana', 'Mario Gallo', 'Frank Adonis', 'Joseph Bono', 'Frank Topham', 'Lori Anne Flax', 'Charles Scorsese', 'Don Dunphy', 'Bill Hanrahan', 'Rita Bennett', 'James V. Christy', 'Bernie Allen', 'Floyd Anderson', 'Gene LeBell', 'Harold Valan', 'Victor Magnotta', 'Johnny Barnes', 'John Thomas', 'Kenny Davis', 'Paul Carmello', 'Jimmy Lennon Sr.', 'Bobby Rings', 'Kevin Mahon', 'Marty Denkin', 'Shay Duffin', 'Eddie Mustafa Muhammad', 'Dick Whittington', 'Jack Lotz', 'Kevin Breslin', 'Louis Raftis', 'Frank Shain', 'Coley Wallace', 'Fritzie Higgins', 'George Latka', 'Fred Dennis', 'Robert B. Loring', 'Johnny Turner', 'Vern De Paul', 'Chuck Hassett', 'Ken Richards', 'Peter Fain', 'Billy Varga', 'Harvey Parry', 'Ted Husing', 'Michael Badalucco', 'Thomas Beansy Lobasso', 'Paul Forrest', 'Peter Petrella', 'Sal Serafino Tomassetti', 'Geraldine Smith', 'Mardik Martin', 'Maryjane Lauria', 'Linda Artuso', 'Peter Savage', 'Daniel P. Conte', 'Joe Malanga', 'Sabine Turco Jr.', 'Steve Orlando', 'Silvio García Jr.', 'John Arceri', 'Joseph A. Morale', 'James Dimodica', 'Robert Uricola', 'Andrea Orlando', 'Allan Malamud', 'D.J. Blair', 'Laura James', 'Richard McMurray', 'Mary Albee', 'Lisa Katz', 'Candy Moore', 'Richard A. Berk', 'Theodore Saunders', 'Noah Young', 'Nick Trisko', 'Lou Tiano', 'Bob Evan Collins', 'Wally K. Berns', 'Allen Joseph', 'Bob Aaron', 'Glenn Leigh Marshall', 'Martin Scorsese', 'Vincent Barbi', 'Joseph Bergmann', 'Scott Crawford', 'Dennis Crosswhite', 'Robert Dahdah', 'Vincent Di Paolo', 'Bruno DiGiorgi', 'Marty Farrell', 'R. Michael Givens', 'Charles Guardino', 'Bob Harks', 'Chuck Hicks', 'Michael Charles Hill', 'Walt La Rue', 'Angelo Lamonea', 'David LeBell', 'Tony Lip', 'Bill Mazer', 'Thomas Murphy', 'Gil Perkins', 'Jerry Schram', 'Glenn Stanton', 'John Turturro', 'McKenzie Westmore']",4.25,4,['Drama'],129,['USA'],English,['English'],"['United Artists', 'Chartoff-Winkler Productions']",477613,158920,146966,4900,364,889,780,3983,4997,22031,35850,99176,67576,82141,317787,https://letterboxd.com/film/raging-bull/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/7/
The Perks of Being a Wallflower,2012,Stephen Chbosky,"['Logan Lerman', 'Emma Watson', 'Ezra Miller', 'Mae Whitman', 'Kate Walsh', 'Dylan McDermott', 'Melanie Lynskey', 'Nina Dobrev', 'Johnny Simmons', 'Joan Cusack', 'Paul Rudd', 'Nicholas Braun', 'Reece Thompson', 'Patrick de Ledebur', 'Brian Balzerini', 'Tom Kruszewski', 'Julia Garner', 'Tom Savini', 'Emily Marie Callaway', 'Chelsea Zhang', 'Jesse Scheirer', 'Justine Nicole Schaefer', 'Julie Marie Schaefer', 'Leo Miles Farmerie', 'Isabel Muschweck', 'Adam Hagenbuch', 'Erin Wilhelmi', 'Jordan Paley', 'Zane Holtz', 'Timothy Breslin', 'Mark McClain Wilson', 'Atticus Cain', 'Stacy Chbosky', 'Dihlon McManne', 'Laurie Klatscher', 'Landon Pigg', 'Jennifer Enskat', 'William L. Thomas', 'Morgan Wolk', 'Joe Fishel']",3.91,3,['Drama'],103,['USA'],English,['English'],['Mr. Mudd Production'],1972492,217124,734539,63000,3394,8942,6204,33632,33096,156010,151234,331233,128070,343872,1195687,https://letterboxd.com/film/the-perks-of-being-a-wallflower/,https://letterboxd.com//fcbarcelona/list/movies-everyone-should-watch-at-least-once/page/7/
